index,accuracy,loss,acc_convergence,parameters,hidden_nodes,filters,filter_size,pooling_size,dropout,accuracy_rank,loss_rank,rank
1547,0.9877,0.0658,0,913867,190,74,(5x5),(3x3),31,1,3,3
1753,0.9863,0.0639,0,767147,218,54,(5x5),(3x3),34,3,1,3
806,0.9876,0.0654,0,651039,194,91,(5x5),(4x4),35,2,2,4
705,0.9858,0.0735,0,606495,166,99,(5x5),(4x4),31,5,12,60
2691,0.9849,0.073,10,526836,250,57,(4x4),(4x4),21,10.5,11,115.5
764,0.9849,0.077,0,501959,113,68,(5x5),(3x3),31,10.5,16,168
2917,0.984,0.0722,0,338323,142,64,(5x5),(4x4),25,18,10,180
2199,0.9845,0.074,0,379235,260,22,(5x5),(3x3),49,14,13,182
1494,0.9847,0.0786,0,337775,215,42,(5x5),(4x4),26,13,19.5,253.5
1590,0.9848,0.085,0,194841,172,30,(4x4),(4x4),24,12,61,732
2852,0.9812,0.0888,0,181103,235,20,(5x5),(4x4),38,69,92,6348
