accuracy,loss,acc_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.7721,0.8153,0,True,True,14113,117,3,"(4, 4)","(5, 5)",average,51
0.9655,0.1633,0,True,True,603891,236,31,"(3, 3)","(3, 3)",average,53
0.7324,0.9663,0,True,True,33363,48,8,"(2, 2)","(3, 3)",average,51
0.9589,0.1657,0,True,True,213671,121,47,"(5, 5)","(4, 4)",average,12
0.9348,0.2417,0,True,True,595847,255,91,"(4, 4)","(5, 5)",average,50
0.8829,0.4662,0,True,True,160539,24,80,"(4, 4)","(3, 3)",average,9
0.9124,0.3595,0,True,True,349524,43,99,"(3, 3)","(3, 3)",max,41
0.9198,0.3136,0,True,True,36383,65,20,"(4, 4)","(5, 5)",max,33
0.9705,0.1438,3,False,False,4194551,257,83,"(3, 3)","(2, 2)",max,3
0.9635,0.1747,0,True,True,741362,51,85,"(5, 5)","(2, 2)",max,30
0.9239,0.293,0,True,True,507503,131,78,"(2, 2)","(4, 4)",average,12
0.9662,0.149,0,True,True,117698,192,7,"(4, 4)","(3, 3)",max,51
0.8708,0.5498,0,True,True,38902,86,5,"(4, 4)","(3, 3)",average,64
0.9752,0.1069,0,True,True,1675055,135,73,"(4, 4)","(2, 2)",max,47
0.9344,0.2758,0,True,True,70651,28,64,"(5, 5)","(4, 4)",max,10
0.955,0.1628,8,False,False,297801,244,6,"(2, 2)","(2, 2)",max,21
0.9501,0.2356,0,True,True,290120,129,13,"(5, 5)","(2, 2)",average,67
0.6519,1.1797,0,True,True,94352,56,65,"(2, 2)","(5, 5)",average,48
0.886,0.4664,0,True,True,52322,139,13,"(5, 5)","(5, 5)",average,60
0.978,0.0877,8,True,False,537244,224,65,"(4, 4)","(4, 4)",max,12
0.9795,0.0811,0,True,True,1645366,212,95,"(4, 4)","(3, 3)",max,46
0.9729,0.1155,0,True,True,390203,179,84,"(5, 5)","(5, 5)",max,48
0.3842,2.1229,0,True,True,225709,29,95,"(2, 2)","(3, 3)",max,34
0.8699,0.4589,0,True,True,53135,107,18,"(2, 2)","(5, 5)",max,25
0.8259,0.6177,0,True,True,145835,85,34,"(2, 2)","(4, 4)",average,34
0.9774,0.1058,4,False,False,4139279,244,100,"(4, 4)","(2, 2)",max,10
0.9322,0.2827,0,True,True,263783,186,28,"(2, 2)","(4, 4)",max,45
0.8873,0.3691,9,False,False,89495,201,16,"(2, 2)","(5, 5)",max,5
0.9663,0.1397,0,True,True,2035690,138,75,"(2, 2)","(2, 2)",average,28
0.9761,0.1154,0,True,True,58323,75,20,"(4, 4)","(4, 4)",max,11
0.4741,1.786,0,True,True,126859,37,68,"(3, 3)","(4, 4)",max,59
0.9525,0.1867,9,True,False,843545,126,82,"(2, 2)","(3, 3)",average,4
0.9809,0.0857,7,False,False,451067,202,34,"(5, 5)","(3, 3)",max,15
0.9695,0.1189,0,True,True,3454660,189,93,"(2, 2)","(2, 2)",max,32
0.9429,0.2188,0,True,True,52274,51,37,"(5, 5)","(5, 5)",max,9
0.9642,0.1497,0,True,True,465724,194,65,"(4, 4)","(4, 4)",max,64
0.8992,0.4328,0,True,True,148839,109,36,"(5, 5)","(4, 4)",max,67
0.7405,0.9084,0,True,True,26339,49,10,"(2, 2)","(4, 4)",max,46
0.6749,1.0145,0,True,True,166781,113,57,"(2, 2)","(5, 5)",average,54
0.9472,0.2459,0,True,True,308059,104,80,"(4, 4)","(4, 4)",average,39
0.956,0.1461,8,True,True,1408891,180,96,"(2, 2)","(3, 3)",max,24
0.9423,0.221,10,True,False,426711,79,66,"(2, 2)","(3, 3)",max,6
0.9346,0.2444,10,True,False,170487,76,60,"(4, 4)","(4, 4)",average,5
0.8181,0.5902,0,True,True,224385,112,78,"(2, 2)","(5, 5)",max,50
0.8666,0.429,0,True,True,510093,204,98,"(2, 2)","(5, 5)",max,49
0.962,0.1462,10,True,True,337450,105,39,"(3, 3)","(3, 3)",max,15
0.9707,0.1262,0,True,True,350283,148,36,"(5, 5)","(3, 3)",average,26
0.9452,0.2055,0,True,True,315539,190,64,"(4, 4)","(5, 5)",average,27
0.9779,0.0942,0,True,True,2667506,215,73,"(5, 5)","(2, 2)",average,33
0.9372,0.2713,0,True,True,147003,232,12,"(3, 3)","(4, 4)",max,69
0.9756,0.1049,7,False,False,186807,240,29,"(5, 5)","(5, 5)",max,10
0.5448,1.417,0,True,True,82855,22,74,"(3, 3)","(4, 4)",average,54
0.9405,0.2166,9,False,False,316139,72,88,"(3, 3)","(4, 4)",max,1
0.7487,0.8724,0,True,True,253994,110,89,"(4, 4)","(5, 5)",average,60
0.9474,0.2293,0,True,True,190235,260,14,"(3, 3)","(4, 4)",average,48
0.9562,0.2163,0,True,True,687201,125,67,"(4, 4)","(3, 3)",average,58
0.8339,0.6137,0,True,True,28603,84,6,"(3, 3)","(4, 4)",average,50
0.943,0.2224,0,True,True,215404,89,65,"(4, 4)","(4, 4)",average,27
0.9662,0.1301,8,True,False,408440,214,23,"(2, 2)","(3, 3)",max,28
0.7948,0.7171,0,True,True,115631,27,52,"(2, 2)","(3, 3)",max,4
0.6187,1.2845,0,True,True,10235,147,1,"(4, 4)","(5, 5)",max,26
0.9105,0.329,0,True,True,203495,193,40,"(4, 4)","(5, 5)",average,50
0.9017,0.363,0,True,True,341663,241,28,"(2, 2)","(4, 4)",average,38
0.7861,0.861,0,True,True,102935,37,16,"(5, 5)","(2, 2)",average,65
0.8405,0.5464,0,True,True,259040,170,59,"(2, 2)","(5, 5)",average,8
0.9668,0.1543,0,True,True,1318871,77,87,"(3, 3)","(2, 2)",max,47
0.9597,0.1494,0,True,True,1041247,199,64,"(2, 2)","(3, 3)",max,27
0.907,0.3933,0,True,True,178943,216,4,"(2, 2)","(2, 2)",average,58
0.8797,0.4156,0,True,True,198455,128,60,"(2, 2)","(5, 5)",max,27
0.505,1.6512,0,True,True,55799,25,56,"(5, 5)","(4, 4)",average,49
0.9354,0.3012,0,True,True,265917,33,47,"(4, 4)","(2, 2)",max,25
0.9743,0.1157,0,True,True,519354,80,79,"(4, 4)","(3, 3)",max,12
0.9718,0.1257,4,False,False,1574475,220,42,"(5, 5)","(2, 2)",average,9
0.9783,0.1007,0,True,True,514077,214,93,"(5, 5)","(5, 5)",max,39
0.9336,0.2575,0,True,True,476490,207,89,"(5, 5)","(5, 5)",average,49
0.5755,1.4212,0,True,True,6279,77,1,"(5, 5)","(4, 4)",max,67
0.9733,0.112,7,False,False,332097,194,46,"(4, 4)","(4, 4)",max,13
0.9412,0.2181,8,False,False,338765,173,39,"(2, 2)","(4, 4)",max,6
0.9062,0.33,0,True,True,62159,160,7,"(3, 3)","(4, 4)",average,12
0.9514,0.1747,6,False,False,515014,84,75,"(2, 2)","(3, 3)",max,1
0.9424,0.254,0,True,True,470350,67,41,"(5, 5)","(2, 2)",max,48
0.7487,0.8312,0,True,True,16267,172,2,"(3, 3)","(5, 5)",max,32
0.859,0.4838,0,True,True,169594,184,35,"(2, 2)","(5, 5)",average,6
0.9675,0.1518,0,True,True,53959,85,16,"(5, 5)","(4, 4)",max,41
0.4639,1.7369,0,True,True,6135,16,12,"(4, 4)","(5, 5)",average,53
0.9084,0.3393,0,True,True,165054,187,33,"(5, 5)","(5, 5)",average,50
0.8858,0.5011,0,True,True,119211,52,60,"(5, 5)","(4, 4)",average,50
0.9737,0.1029,0,True,True,285275,237,46,"(4, 4)","(5, 5)",max,28
0.6243,1.2609,0,True,True,184794,42,53,"(4, 4)","(3, 3)",average,70
0.9448,0.2725,0,True,True,63817,60,6,"(4, 4)","(2, 2)",max,60
0.9503,0.2275,0,True,True,510950,153,67,"(3, 3)","(4, 4)",max,62
0.838,0.5944,0,True,True,90785,133,13,"(2, 2)","(4, 4)",average,55
0.9742,0.1139,0,True,True,721615,88,100,"(4, 4)","(3, 3)",max,19
0.9734,0.1082,8,True,False,3720287,215,88,"(3, 3)","(2, 2)",max,30
0.9241,0.2778,0,True,True,185640,238,15,"(2, 2)","(4, 4)",max,38
0.4404,1.8402,0,True,True,8879,16,19,"(3, 3)","(5, 5)",max,62
0.9718,0.1108,7,False,False,288475,173,20,"(3, 3)","(3, 3)",max,20
0.9632,0.1832,3,False,False,2472965,150,97,"(5, 5)","(2, 2)",max,1
0.6768,1.0698,0,True,True,57656,17,17,"(2, 2)","(2, 2)",max,11
0.5925,1.3344,0,True,True,282527,71,80,"(2, 2)","(4, 4)",average,66
0.7271,0.9648,0,True,True,344315,108,64,"(2, 2)","(4, 4)",average,64
0.9613,0.1515,7,False,False,1074922,249,87,"(3, 3)","(4, 4)",average,0
0.9747,0.1278,0,True,True,270983,247,29,"(5, 5)","(4, 4)",max,63
0.9582,0.1666,8,True,False,1132631,71,81,"(3, 3)","(2, 2)",average,7
0.8664,0.5287,0,True,True,800687,227,71,"(2, 2)","(4, 4)",average,70
0.9616,0.1452,6,False,False,328023,138,92,"(4, 4)","(5, 5)",max,0
0.9727,0.1216,0,True,True,245793,232,6,"(4, 4)","(2, 2)",max,53
0.9642,0.1496,0,True,True,531707,245,84,"(5, 5)","(5, 5)",max,62
0.9755,0.1063,8,False,False,879307,229,59,"(5, 5)","(3, 3)",average,21
0.7086,1.0394,0,True,True,167054,74,45,"(2, 2)","(4, 4)",average,62
0.9596,0.1812,0,True,True,978256,121,41,"(2, 2)","(2, 2)",average,39
0.6246,1.338,0,True,True,42745,22,11,"(5, 5)","(2, 2)",average,64
0.9739,0.1064,0,True,True,430143,95,55,"(4, 4)","(3, 3)",max,31
0.9293,0.2887,0,True,True,219951,132,20,"(2, 2)","(3, 3)",average,24
0.8643,0.4405,0,True,True,280301,113,97,"(2, 2)","(5, 5)",max,25
0.9088,0.3613,0,True,True,119699,76,31,"(3, 3)","(4, 4)",average,15
0.9266,0.2724,0,True,True,61611,167,4,"(3, 3)","(3, 3)",max,23
0.8827,0.4886,0,True,True,279167,56,29,"(5, 5)","(2, 2)",max,56
0.9708,0.1187,8,True,False,2761719,151,93,"(3, 3)","(2, 2)",average,18
0.9176,0.3241,0,True,True,97826,55,47,"(4, 4)","(4, 4)",average,3
0.8946,0.3904,0,True,True,56771,126,16,"(4, 4)","(5, 5)",average,25
0.9113,0.336,0,True,True,27621,69,14,"(3, 3)","(5, 5)",max,23
0.7206,0.9739,0,True,True,163943,15,55,"(3, 3)","(2, 2)",max,5
